R_variable,Line_letter,Line_number,Position
run_name,a,1,1
lat_deg,c,3,1
lat_min,c,3,2
slope,c,3,3
aspect,c,3,4
hrnoon,c,3,5
elev,c,3,6
nplants,d,4,1
nsp,d,4,2
nr,d,4,3
nsp,d,4,4
nsalt,d,4,5
error_tol,d,4,6
time_step,d,4,7
roughness,e,5,1
measurement_height,e,5,2
ponding,e,5,3
mcanflg,f,,1
istomate,f,,2
canma,f,,3
canmb,f,,4
wcandt,f,,5
itype,f_1,,1
interception,f_1,,2
xangle,f_1,,3
canalb,f_1,,4
tcrit,f_1,,5
min_stomatal_resistance,f_1,,6
stomatal_exp,f_1,,7
critical_leaf_water,f_1,,8
leaf_resist,f_1,,9
root_resist,f_1,,10
Kst,fa,,1
Tlower,fa,,2
Tupper,fa,,3
Topt,fa,,4
Kvpd,fa,,5
r,fa,,6
plant_height,f0,,1
dchar,f0,,2
clumping,f0,,3
biomass,f0,,4
LAI,f0,,5
rooting,f0,,6
gro_file,f1,,1
isnotmp,g,,1
snotmp,g,,2
snow_roughness,g,,3
nrchang,h,,1
gmcdt,h,,2
residue_thickness,h1,,1
residue_weight,h1,,2
residue_fraction,h1,,3
residue_albedo,h1,,4
residue_coefficient,h1,,5
residue_krb,h1,,6
ivlcbc,j1,,1
itmpbc,j1,,2
dry_soil_albedo,j1,,3
soil_albedo_exponent,j1,,4
iwrc,j1,,5
lower_bc_temp,j2,,1